DATE,TYPE,KIA,WIA,CITY,REGION
2015 DEC 09,CACHE/FOUND,0,0,Kramatorsk,DONETSK
2015 DEC 09,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 DEC 08,UNKNOWN,0,0,Kiev,KIEV
2015 DEC 07,HOAX/FALSE,0,0,Ivano-Frankivsk,IVANO-FRANKIVSK
2015 DEC 02,CACHE/FOUND,0,0,Krasnoarmiisk,DONETSK
2015 DEC 02,CACHE/FOUND,0,0,Avdeevka,DONETSK
2015 DEC 02,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA
2015 NOV 30,CACHE/FOUND,0,0,Mariupol ,DONETSK
2015 NOV 28,UNKNOWN,0,0,Avdotyino,DONETSK
2015 NOV 27,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 26,UNKNOWN,0,0,Simferopol,CRIMEA
2015 NOV 26,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 26,CACHE/FOUND,0,0,Klisiivka,DONETSK
2015 NOV 25,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 24,CACHE/FOUND,0,0,Bovrove,LUHANSK 
2015 NOV 22,UNKNOWN,0,0,TBD,KHERSON
2015 NOV 21,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK
2015 NOV 20,UNKNOWN,0,0,TBD,KHERSON
2015 NOV 19,CACHE/FOUND,0,0,Druzkivci,DONETSK
2015 NOV 18,CACHE/FOUND,0,0,Mariupol ,DONETSK
2015 NOV 18,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 17,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 16,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 16,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 16,CACHE/FOUND,0,0,Zakarpatye,DONETSK
2015 NOV 15,HOAX/FALSE,0,0,Chernihiv,CHERNIHIV
2015 NOV 13,UNKNOWN,0,0,Zhytomir,ZHYTOMYR
2015 NOV 13,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 13,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA
2015 NOV 13,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 12,UNKNOWN,2,0,Marinka,DONETSK
2015 NOV 12,CACHE/FOUND,0,0,Mistky,LUHANSK 
2015 NOV 10 ,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 10,CACHE/FOUND,0,0, Volnovakha,DONETSK
2015 NOV 09,PROJECTED,1,0,Kiev,KIEV
2015 NOV 07,CACHE/FOUND,0,0,TBD,DONETSK
2015 NOV 06,CACHE/FOUND,0,0,Odessa,ODESSA
2015 NOV 04,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 03,CACHE/FOUND,0,0,Pobeda,LUHANSK
2015 NOV 01,UNKNOWN,0,2,Volnovakha,DONETSK
2015 OCT 31,UNKNOWN,0,0,Svatovo,LUHANSK
2015 OCT 29,CACHE/FOUND,0,0,Mariupol ,DONETSK
2015 OCT 28,CACHE/FOUND,0,0,Marinka,DONETSK
2015 OCT 27,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 OCT 26,CACHE/FOUND,0,0,Artemivsk,DONETSK
2015 OCT 24,CACHE/FOUND,0,0,Slavne,DONETSK
2015 OCT 22,CACHE/FOUND,0,0,Novokramatorsk,DONETSK
2015 OCT 22,CACHE/FOUND,0,0,Zaceive,DONETSK
2015 OCT 22,UNKNOWN,0,1,Zolote,LUHANSK
2015 OCT 21,CACHE/FOUND,0,0,Verkhnio Toretske,DONETSK
2015 OCT 21,UNKNOWN,0,1,Mikolayiv,MIKOLAYIV
2015 OCT 20,HOAX/FALSE,0,0,Mariupol ,DONETSK
2015 OCT 20,CACHE/FOUND,0,0,Shchastya,LUHANSK
2015 OCT 19,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK
2015 OCT 19,CACHE/FOUND,0,0,Mezhova,DONETSK
2015 OCT 18,CACHE/FOUND,0,0,Sergueevka,DONETSK
2015 OCT 17,UNKNOWN,0,0,Kiev,KIEV
2015 OCT 17,UNKNOWN,0,0,Kherson,KHERSON
2015 OCT 16,CACHE/FOUND,0,0,Artemivsk,DONETSK
2015 OCT 16,CACHE/FOUND,0,0,Kurakhovo,DONETSK
2015 OCT 15,CACHE/FOUND,0,0,Maryinsky,DONETSK
2015 OCT 13,CACHE/FOUND,0,0,Marinka,DONETSK
2015 OCT13,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 OCT 12,UNKNOWN,1,0,Krivoy Rog,DNIPROPETROVSK
2015 OCT 07,UNKNOWN,0,0,Lviv,LVIV
2015 OCT 07,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 OCT 07,CACHE/FOUND,0,0,Aslanove,DONETSK
2015 OCT 07,UNKNOWN,0,0,Bilhorod Dnistrovsky,ODESSA
2015 OCT 07,CACHE/FOUND,0,0,Bila Tserkva,KIEV
2015 OCT 03,CACHE/FOUND,0,0,Popasna,LUHANSK
2015 OCT 05,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 OCT 03,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK
2015 OCT 02,VOIED,1,0,Stanytsia Luhanska,LUHANSK 
2015 OCT 01,CACHE/FOUND,0,0,Vinnytsia,VINNYTSIA
2015 OCT 01,CACHE/FOUND,0,0,Kurakhovo,DONETSK
2015 SEP 30,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 SEP 28,UNKNOWN,0,1,Kiev,KIEV
2015 SEP 28,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 SEP 27,UNKNOWN,0,0,Odessa,ODESSA
2015 SEP 26,HOAX/FALSE,0,0,Odessa,ODESSA
2015 SEP 25,CACHE/FOUND,0,0,Severodonetsk,LUHANSK
2015 SEP 24,UNKNOWN,1,3,Torez,DONETSK
2015 SEP 23,VOIED,0,0,Sopyne,DONETSK
2015 SEP 22,CACHE/FOUND,0,0,TBD,DNIPROPETROVSK
2015 SEP 21,CACHE/FOUND,0,0,Mikolayiv,MIKOLAYIV
2015 SEP 20,CACHE/FOUND,0,0,TBD,DONETSK
2015 SEP 17,CACHE/FOUND,0,0,Debaltseve,LUHANSK
2015 SEP 15,CACHE/FOUND,0,0,Polovynkyne,LUHANSK
2015 SEP 14,VOIED,0,2,Berezove,DONETSK
2015 SEP 14,CACHE/FOUND,0,0,Mariupol,DONETSK
2015 SEP 11,UNKNOWN,0,0,Odessa,ODESSA
2015 SEP 10,CACHE/FOUND,0,0,Odessa,ODESSA
2015 SEP 09,CACHE/FOUND,0,0,Shchastya,LUHANSK
2015 SEP 09,CACHE/FOUND,0,0,Odessa,ODESSA
2015 SEP 07,CACHE/FOUND,0,0,Vodyane,ZAPORIZHYE
2015 SEP 07,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK
2015 SEP 07,CACHE/FOUND,0,0,Odessa,ODESSA
2015 SEP 07,CACHE/FOUND,0,0,TBD,LUHANSK
2015 SEP 04,PROJECTED,0,0,Rivne,RIVNE
2015 SEP 04,CACHE/FOUND,0,0,Plovynkyne,LUHANSK
2015 SEP 03,UNKNOWN,0,2,Dzerzhinsk,DONETSK
2015 SEP 03,CACHE/FOUND,0,0,Volodartsi,DONETSK
2015 SEP 03,PROJECTED,0,0,Zaporizhia,ZAPORIZHYE
2015 SEP 02,UNKNOWN,1,0,Ognevka,POLTAVA
2015 AUG 31,UNKNOWN,1,0,Kiev,KIEV
2015 AUG 31,HOAX/FALSE,0,0,Kiev,KIEV
2015 AUG 30,CACHE/FOUND,0,0,Polovynkyne,LUHANSK
2015 AUG 30,CACHE/FOUND,0,0,Bakhmutivka,LUHANSK
2015 AUG 29,CACHE/FOUND,0,0,TBD,DNIPROPETROVSK
2015 AUG 28,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 AUG 28,CACHE/FOUND,0,0,Vesele,DONETSK
2015 AUG 27,CACHE/FOUND,0,0,Volodarsky,DONETSK
2015 AUG 27,UNKNOWN,0,0,Kiev,KIEV
2015 AUG 24,UNKNOWN,0,0,Rovenky,LUHANSK 
2015 AUG 23,CACHE/FOUND,0,0,Odessa,ODESSA
2015 AUG 22,CACHE/FOUND,0,0,TBD,ZAPORIZHYE
2015 AUG 22,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 AUG 22,CACHE/FOUND,0,0,Starobilsk,LUHANSK 
2015 AUG 22,CACHE/FOUND,0,0,Novgorod,DONETSK
2015 AUG 22,UNKNOWN,0,0,Mikolayiv,MIKOLAYIV
2015 AUG 21,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 AUG 20,HOAX/FALSE,0,0,Kiev,KIEV
2015 AUG 18,CWIED,0,0,Kondrashevska,LUHANSK 
2015 AUG 18,CACHE/FOUND,0,0,Kiev,KIEV
2015 AUG 17,CACHE/FOUND,0,0,Lviv,LVIV
2015 AUG 17,CACHE/FOUND,0,0,Kiev,KIEV
2015 AUG 17,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 AUG 14,CACHE/FOUND,0,0,TBD,KHARKIV
2015 AUG 15,CACHE/FOUND,0,0,Kiev,KIEV
2015 AUG 13,UNKNOWN,1,0,Stepove,DNIPROPETROVSK
2015 AUG 13,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 AUG 13,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK
2015 AUG 13,CACHE/FOUND,0,0,Kobelyaki,POLTAVA
2015 AUG 12,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 AUG 06,UNKNOWN,0,0,Odessa,ODESSA
2015 AUG 05,CACHE/FOUND,0,0,TBD,IVANO-FRANKIVSK
2015 AUG 04,CACHE/FOUND,0,0,Kiev,KIEV
2015 AUG 03,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 AUG 02,PROJECTED,0,0,Odessa,ODESSA
2015 AUG 02,UNKNOWN,0,0,Popasna,LUHANSK 
2015 JUL 29,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUL 28,HOAX/FALSE,0,0,Kiev,KIEV
2015 JUL 28,CACHE/FOUND,0,0,Kamenka-Dnieper,ZAPORIZHYE
2015 JUL 28,CACHE/FOUND,0,0,Severodonetsk,LUHANSK
2015 JUL 27,CACHE/FOUND,0,0,Kiev,KIEV
2015 JUL 27,HOAX/FALSE,0,0,Kiev,KIEV
2015 JUL 23,CACHE/FOUND,0,0,TBD,CHERNIHIV
2015 JUL 23,HOAX/FALSE,0,0,Zhytomir,ZHYTOMYR
2015 JUL 22,CACHE/FOUND,0,0,Stanytsia Luhanska,LUHANSK 
2015 JUL 22,VOIED,0,0,Krasnoarmiysk,DONETSK
2015 JUL 20,UNKNOWN,0,0,Berdyansk,ZAPORIZHYE
2015 JUL 20,UNKNOWN,0,1,Odessa,ODESSA
2015 JUL 19,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 JUL 19,CACHE/FOUND,0,0,Shchastya,LUHANSK
2015 JUL 19,CACHE/FOUND,0,0,Krasnoarmiysk,DONETSK
2015 JUL 16,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUL 15,CACHE/FOUND,0,0,Donetsk,DONETSK
2015 JUL 15,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUL 15,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 JUL 14,CACHE/FOUND,0,0,Odessa,ODESSA
2015 JUL 14,UNKNOWN,0,1,Lviv,LVIV
2015 JUL 14,UNKNOWN,0,1,Lviv,LVIV
2015 JUL 14,UNKNOWN,0,1,Donetsk,DONETSK
2015 JUL 14,CACHE/FOUND,0,0,Pavlograd,DNIPROPETROVSK
2015 JUL 09,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUL 09,TIME DELAY,0,0,Mariupol,DONETSK
2015 JUL 08,CACHE/FOUND,0,0,Popasna,LUHANSK
2015 JUL 07,UNKNOWN,1,0,Brovary,KIEV
2015 JUL 07,UNKNOWN,0,0,Vasilyevka,DONETSK
2015 JUL 07,CACHE/FOUND,0,0,Kiev,KIEV
2015 JUL 06,CACHE/FOUND,0,0,TBD,ZHYTOMYR
2015 JUL 06,CACHE/FOUND,0,0,Lysychansk,LUHANSK
2015 JUL 05,UNKNOWN,0,0,Odessa,ODESSA
2015 JUL 05,CACHE/FOUND,0,0,Mikolayiv,MIKOLAYIV
2015 JUL 04,CACHE/FOUND,0,0,Novohrad-Volynskyi,ZHYTOMYR
2015 JUL 04,UNKNOWN,0,0,Sumy,SUMY
2015 JUL 03,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUL 02,UNKNOWN,0,0,Odessa,ODESSA
2015 JUL 02,CACHE/FOUND,0,0,Kiev,KIEV
2015 JUL 01,CACHE/FOUND,0,0,Komsomolsk,POLTAVA
2015 JUL 01,UNKNOWN,0,0,Darivka,LUHANSK 
2015 JUL 01,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 JUL 01,HOAX/FALSE,0,0,Mikolayiv,MIKOLAYIV
2015 JUN 30,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUN 29,CACHE/FOUND,0,0,Milovskyi,LUHANSK
2015 JUN 27,CACHE/FOUND,0,0,Artemivsk,DONETSK
2015 JUN 26,UNKNOWN,0,0,Orikhove,LUHANSK 
2015 JUN 26,HOAX/FALSE,0,0,Odessa,ODESSA
2015 JUN 26,CACHE/FOUND,0,0,Kukshym,CHERNIHIV
2015 JUN 25,UNKNOWN,0,1,Shyroka,LUHANSK 
2015 JUN 25,CACHE/FOUND,0,0,Borovske,LUHANSK
2015 JUN 25,UNKNOWN,0,1,Lviv,LVIV
2015 JUN 24,CACHE/FOUND,0,0,Chasir Yav,DONETSK
2015 JUN 24,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUN 23,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUN 22,UNKNOWN,0,0,Kiev,KIEV
2015 JUN 20,UNKNOWN,0,0,Troyitske,LUHANSK
2015 JUN 17,CACHE/FOUND,0,0,Illicha,DONETSK
2015 JUN 17,UNKNOWN,0,1,Novotoshkivske,LUHANSK
2015 JUN 16,UNKNOWN,0,0,Sumy,SUMY
2015 JUN 16,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUN 16,CACHE/FOUND,0,0,Kiev,KIEV
2015 JUN 16,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUN 15,UNKNOWN,0,0,Kherson,KHERSON
2015 JUN 13,UNKNOWN,1,0,Troyitske,LUHANSK
2015 JUN 12,UNKNOWN,0,0,Poposna,LUHANSK
2015 JUN 12,UNKNOWN,0,0,Odessa,ODESSA
2015 JUN 12,UNKNOWN,0,0,Svitlodarsk,DONETSK
2015 JUN 12,UNKNOWN,0,0,Odessa,ODESSA
2015 JUN 11,CACHE/FOUND,0,0,TBD,ZAPORIZHYE
2015 JUN 11,UNKNOWN,0,0,Yasynuvata,DONETSK
2015 JUN 10,CACHE/FOUND,0,0,Chasiv Yar,DONETSK
2015 JUN 09,CACHE/FOUND,0,0,Gavrilovka,DNIPROPETROVSK
2015 JUN 09,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015JUN 08,CACHE/FOUND,0,0,TBD,SUMY
2015 JUN 07,UNKNOWN,1,5,Mariupol,DONETSK
2015 JUN 04,HOAX/FALSE,0,0,Kiev,KIEV
2015 JUN 04,UNKNOWN,0,0,Dachne,ODESSA
2015 JUN 04,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 JUN 04,CACHE/FOUND,0,0,Kapitanove,LUHANSK 
2015 JUN 03,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 JUN 02,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUN 02,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 JUN 01,UNKNOWN,0,0,Shoirohino,DONETSK
2015 MAY 31,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 MAY 31,UNKNOWN,2,0,Stanytsia Luhanska,LUHANSK 
2015 MAY 30,UNKNOWN,1,0,Vynohradne,DONETSK
2015 MAY 29,HOAX/FALSE,0,0,Kiev,KIEV
2015 MAY 29,CACHE/FOUND,0,0,Stanytsia Luhanska,LUHANSK
2015 MAY 29,HOAX/FALSE,0,0,Mikolayiv,MIKOLAYIV
2015 MAY 28,UNKNOWN,0,0,Kiev,KIEV
2015 MAY 28,UNKNOWN,1,1,Kiev,KIEV
2015 MAY 27,VOIED,1,1,Stanytsia Luhanska,LUHANSK 
2015 MAY 27,CACHE/FOUND,0,0,Pavlohrad,DNIPROPETROVSK
2015 MAY 25,UNKNOWN,1,0,Severodonetsk,LUHANSK
2015 MAY 23,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 MAY 23,UNKNOWN,7,0,Mikhailivka,LUHANSK
2015 MAY 23,HOAX/FALSE,0,0,Kherson,KHERSON
2015 MAY 21˜,CACHE/FOUND,0,0,Kiev,KIEV
2015 MAY 20,HOAX/FALSE,0,0,Kiev,KIEV
2015 MAY 20,CACHE/FOUND,0,0,Asinovatstogo,DONETSK
2015 MAY 19,CACHE/FOUND,0,0,Zaporizhia,ZAPORIZHYE
2015 MAY 18,UNKNOWN,0,0,Gorsk,LUHANSK 
2015 MAY 16,UNKNOWN,0,0,Odessa,ODESSA
2015 MAY 15,UNKNOWN,0,1,Avdiyivka,DONETSK
2015 MAY 15,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 MAY 15,HOAX/FALSE,0,0,Kiev,KIEV
2015 MAY 15,CACHE/FOUND,0,0,Lisichansk,LUHANSK 
2015 MAY 14,UNKNOWN,0,0,Odessa,ODESSA
2015 MAY 13,UNKNOWN,1,0,Gornyak,DONETSK
2015 MAY 13,UNKNOWN,0,0,Odessa,ODESSA
2015 MAY 13,CACHE/FOUND,0,0,Kiev,KIEV
2015 MAY 12,UNKNOWN,0,0,Slobodka,ODESSA
2015 MAY 12,CACHE/FOUND,0,0,Hadjibei,ODESSA
2015 MAY 11,UNKNOWN,1,0,Energodar,ZAPORIZHYE
2015 MAY 10,HOAX/FALSE,0,0,Kiev,KIEV
2015 MAY 10,HOAX/FALSE,0,0,Odessa,ODESSA
2015 MAY 09,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 MAY 08,CACHE/FOUND,0,0,Krasnoarmeysk,DONETSK
2015 MAY 08,CACHE/FOUND,0,0,Kiev,KIEV
2015 MAY 06,HOAX/FALSE,0,0,Odessa,ODESSA
2015 MAY 06,CACHE/FOUND,0,0,Stanytsia Luhanska,LUHANSK 
2015 MAY 05,CACHE/FOUND,0,0,Svyatohirsk,DONETSK
2015 MAY 05,HOAX/FALSE,0,0,Krivoy Rog,DNIPROPETROVSK
2015 MAY 05,CACHE/FOUND,0,0,Antonivka,DNIPROPETROVSK
2015 MAY 03,HOAX/FALSE,0,0,Zaporizhia,ZAPORIZHYE
2015 MAY 02,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 MAY02,HOAX/FALSE,0,0,Nikolayevshchina,MIKOLAYIV
2015 MAY02,HOAX/FALSE,0,0,Kiev,KIEV
2015 MAY 01,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 APR 29,CACHE/FOUND,0,0,Kostiv,KHARKIV
2015 APR 29,UNKNOWN,0,0,Bictoba,IVANO-FRANKIVSK
2015 APR 29,UNKNOWN,0,0,Olenivka,DONETSK
2015 APR 28,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 APR 28,CACHE/FOUND,0,0,Kiev,KIEV
2015 APR 28,UNKNOWN,0,0,Ilichevsk,ODESSA
2015 APR 28,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 APR 28,HOAX/FALSE,0,0,Lviv,LVIV
2015 APR 28,CACHE/FOUND,0,0,Sokolivka,KIEV
2015 APR 27,HOAX/FALSE,0,0,Odessa,ODESSA
2015 APR 25,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 25,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 APR 25,UNKNOWN,0,2,Popasna,LUHANSK
2015 APR 25,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 APR 24,CACHE/FOUND,0,0,Kiev,KIEV
2015 APR 24,UNKNOWN,0,0,Prev,IVANO-FRANKIVSK
2015 APR 23,UNKNOWN,0,1,Kramatorsk,DONETSK
2015 APR 23,UNKNOWN,0,0,Yelenovka,DONETSK
2015 APR 23,CACHE/FOUND,0,0,Odessa,ODESSA
2015 APR 22,UNKNOWN,0,0,Melovoye,LUHANSK
2015 APR 22,HOAX/FALSE,0,0,Zaporizhia,ZAPORIZHYE
2015 APR 22,HOAX/FALSE,0,0,Odessa,ODESSA
2015 APR 22,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 APR 22,CACHE/FOUND,0,0,Odessa,ODESSA
2015 APR 21,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 21,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 APR 21,CACHE/FOUND,0,0,Lysychansk,LUHANSK
2015 APR 20,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 19,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 16,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 APR 16,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 16,HOAX/FALSE,0,0,Krasnoarmiysk,DONETSK
2015 APR 15,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 15,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 15,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 APR 14,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 13,CACHE/FOUND,0,0,Lisichansk,LUHANSK 
2015 APR 13,UNKNOWN,0,0,Sumy,SUMY
2015 APR 12,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 11,HOAX/FALSE,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 APR 11,UNKNOWN,0,0,Olenivka,DONETSK
2015 APR 10,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 09,CACHE/FOUND,0,0,Odessa,ODESSA
2015 APR 09,HOAX/FALSE,0,0,Kiev,KIEV
2015 APR 09,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 APR 09,UNKNOWN,0,0,Kiev,KIEV
2015 APR 09,CACHE/FOUND,0,0,Rubizhne,LUHANSK 
2015 APR 08,UNKNOWN,0,1,Milove,LUHANSK 
2015 APR 08,CACHE/FOUND,0,0,Odessa,ODESSA
